Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
ombre-mystique,Ombre Mystique,"<p>A curated set of four signature miniature fragrances. A journey through mystery and depth.</p><p><em>Includes: Morning Raw · Mystic · Invisible · Aura D Arabia</em></p>",Sokole Fragrance,Premium Boxes,"premium boxes, gift, combo, exclusive gift",true,Title,Default,SKU-BOX-001,200,deny,manual,0.00,true,true,active
golden-reverie,Golden Reverie,"<p>Four luminous miniature scents gathered in an elegant gift box.</p><p><em>Includes: L Ombré · Herbe Pure · Muse · Amor Noir</em></p>",Sokole Fragrance,Premium Boxes,"premium boxes, gift, combo, exclusive gift",true,Title,Default,SKU-BOX-002,200,deny,manual,0.00,true,true,active
velvet-noir,Velvet Noir,"<p>Four velvety miniature fragrances in a signature dark presentation box.</p><p><em>Includes: Vert Silence · Jardin Soul · Eclipse · Golden Silk</em></p>",Sokole Fragrance,Premium Boxes,"premium boxes, gift, combo, exclusive gift",true,Title,Default,SKU-BOX-003,200,deny,manual,0.00,true,true,active
bohemian-code,Bohemian Code,"<p>Four bold miniature fragrances for those who write their own rules.</p><p><em>Includes: El Maison · Vesper · Silky Wood · Veil of Dunes</em></p>",Sokole Fragrance,Premium Boxes,"premium boxes, gift, combo, exclusive gift",true,Title,Default,SKU-BOX-004,200,deny,manual,0.00,true,true,active
eclat-de-soie,Eclat De Soie,"<p>A luminous fragrance mist that envelops the skin in soft radiance. Light, sensual, unforgettable.</p><p>100ml · Fragrance Mist</p>",Sokole Fragrance,Body Mist Fragrance,"body mist, fragrance mist, 100ml",true,Title,Default,SKU-MIST-001,150,deny,manual,0.00,true,true,active
jardin-de-velours,Jardin De Velours,"<p>A velvety floral mist inspired by secret gardens in bloom. Romantic and warm.</p><p>100ml · Fragrance Mist</p>",Sokole Fragrance,Body Mist Fragrance,"body mist, fragrance mist, 100ml, floral",true,Title,Default,SKU-MIST-002,150,deny,manual,0.00,true,true,active
scarlet-aura,Scarlet Aura,"<p>A bold and captivating mist with rich botanical notes. Confident, intense, magnetic.</p><p>100ml · Fragrance Mist</p>",Sokole Fragrance,Body Mist Fragrance,"body mist, fragrance mist, 100ml",true,Title,Default,SKU-MIST-003,150,deny,manual,0.00,true,true,active
maison-de-brume,Maison De Brume,"<p>A sophisticated dark mist with warm copper undertones. Mysterious and refined.</p><p>100ml · Fragrance Mist</p>",Sokole Fragrance,Body Mist Fragrance,"body mist, fragrance mist, 100ml",true,Title,Default,SKU-MIST-004,150,deny,manual,0.00,true,true,active
cashmere-aura,Cashmere Aura,"<p>A soft, powdery mist as gentle as cashmere on skin. Tender, feminine, long-lasting.</p><p>100ml · Fragrance Mist</p>",Sokole Fragrance,Body Mist Fragrance,"body mist, fragrance mist, 100ml, feminine",true,Title,Default,SKU-MIST-005,150,deny,manual,0.00,true,true,active
fleur-de-minuit,Fleur De Minuit,"<p>A midnight floral fragrance — deep, romantic, and hauntingly beautiful.</p>",Sokole Fragrance,Perfume for Her,"perfume, for her, floral, feminine",true,Title,Default,SKU-HER-001,100,deny,manual,0.00,true,true,active
rose-oud-doree,Rose Oud Dorée,"<p>A golden union of rose and oud. Rich, warm, and unmistakably luxurious.</p>",Sokole Fragrance,Perfume for Her,"perfume, for her, oud, rose, oriental",true,Title,Default,SKU-HER-002,100,deny,manual,0.00,true,true,active
velours-de-soie,Velours De Soie,"<p>Smooth as silk velvet — a delicate fragrance that leaves a whisper of elegance.</p>",Sokole Fragrance,Perfume for Her,"perfume, for her, delicate, feminine",true,Title,Default,SKU-HER-003,100,deny,manual,0.00,true,true,active
belle-dorient,Belle d'Orient,"<p>An opulent eastern-inspired fragrance with warm spices and precious woods.</p>",Sokole Fragrance,Perfume for Her,"perfume, for her, oriental, spicy",true,Title,Default,SKU-HER-004,100,deny,manual,0.00,true,true,active
petale-precieux,Pétale Précieux,"<p>A rare and precious floral — light as a petal, enduring as gold.</p>",Sokole Fragrance,Perfume for Her,"perfume, for her, floral, light",true,Title,Default,SKU-HER-005,100,deny,manual,0.00,true,true,active
oud-imperiale,Oud Impériale,"<p>A commanding imperial fragrance built on the finest oud. Powerful, distinguished, timeless.</p>",Sokole Fragrance,Perfume for Him,"perfume, for him, oud, masculine, oriental",true,Title,Default,SKU-HIM-001,100,deny,manual,0.00,true,true,active
bois-de-santal,Bois De Santal,"<p>Warm sandalwood and smooth woods — a sophisticated scent for the modern man.</p>",Sokole Fragrance,Perfume for Him,"perfume, for him, woody, sandalwood",true,Title,Default,SKU-HIM-002,100,deny,manual,0.00,true,true,active
ambre-mystique,Ambre Mystique,"<p>A deep amber fragrance with a mysterious dry-down. Bold and unforgettable.</p>",Sokole Fragrance,Perfume for Him,"perfume, for him, amber, woody, masculine",true,Title,Default,SKU-HIM-003,100,deny,manual,0.00,true,true,active
desert-dor,Désert d'Or,"<p>Golden sands and warm spices — an ode to the Arabian desert at dusk.</p>",Sokole Fragrance,Perfume for Him,"perfume, for him, oriental, spicy, oud",true,Title,Default,SKU-HIM-004,100,deny,manual,0.00,true,true,active
